Country,Job Title,Living Zone,Quantity,Percentage
United Kingdom,Director of Data Operations,Rural,1,0.18
United Kingdom,Electronic Data Interchange System Developer (EDI System Developer),Rural,1,0.18
United Kingdom,Electronic Data Processing Auditor (EDP Auditor),Rural,1,0.18
United Kingdom,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Rural,1,0.18
United Kingdom,Field Traffic Data Technician,Rural,1,0.18
United Kingdom,Flight Data Technician,Rural,1,0.18
United Kingdom,Flight Test Data Acquisition Technician,Rural,1,0.18
United Kingdom,Geographic Information Systems Data Administrator (GIS Data Administrator),Rural,2,0.37
United Kingdom,Geographic Information Systems Data Manager (GIS Data Manager),Rural,1,0.18
United Kingdom,Geographic Information Systems Data Specialist (GIS Data Specialist),Rural,1,0.18
United Kingdom,Geographic Information Systems Database Administrator (GIS Database Administrator),Rural,4,0.73
United Kingdom,Head of Information Systems and Data Processing,Rural,1,0.18
United Kingdom,Internet Database Specialist,Rural,2,0.37
United Kingdom,Marketing Database Analyst,Rural,1,0.18
United Kingdom,Medical Data Analyst,Rural,1,0.18
United Kingdom,Naval Tactical Data System--Combat Information Center Officer,Rural,1,0.18
United Kingdom,Oracle Database Administrator (Oracle DBA),Rural,1,0.18
